publisher,isbn
Penguin Publishing Group,9780593334836
G.P. Putnam's Sons,9780735219106
Grand Central Publishing,9781538724736
Little Brown & Company,9780316499378
Berkley Books,9781984806758
Grand Central Publishing,9781538719770
Atria Books,9781501133572
St. Martin's Press,9781250279255
"Blackstone Audio, Incorporated",9780063037328
Penguin Books,9780143127741
"Crown Publishing Group, The",9780593138090
Simon & Schuster,9781982172480
Milkweed Editions,9781571313560
William Morrow,9780063144316
Anchor,9781400032808
Knopf Publishing Group,9780525657743
Little Brown & Company,9780316499378
Grand Central Publishing,9781538719770
Atria Books,9781501133572
"Little, Brown and Company",9780759554344
Viking,9780525559474
HarperCollins Publishers,9780063003057
Tor Books,9781250812193
Simon & Schuster,9781501171345
St. Martin's Press,9781250278364
St. Martin's Press,9781250279255
"Blackstone Audio, Incorporated",9780063037328
"Crown Publishing Group, The",9780593138090
Simon & Schuster,9781982172480
William Morrow,9780063144316
Knopf Publishing Group,9780525657743
Potter/Ten Speed/Harmony/Rodale,9780593139134
Flatiron Books:,9781250223180
Penguin Publishing Group,9780593334836
G.P. Putnam's Sons,9780735219106
Grand Central Publishing,9781538724736
Berkley Books,9781984806758
Berkley,9780593336823
Atria Books,9781501193323
Berkley,9781984806734
Ecco,9780062060624
Penguin Books,9780143127741
Milkweed Editions,9781571313560
Harper Paperbacks,9780060959470
Anchor,9781400032808
Simon & Schuster,9781982115869
Spiegel & Grau,9780399588198
Back Bay Books,9780316299220
Vintage,9780062316110
Spiegel & Grau,9780812984965
"Farrar, Straus and Giroux",9780374533557
Avery,9780735211292
Random House,9780399592553
HarperCollins Publishers,9780062976581
Potter/Ten Speed/Harmony/Rodale,9780593232552
Hachette Books,9780306923043
HarperCollins Publishers,9780063225886
Harper One,9780062457714
Alfred A. Knopf,9780375869020
"Holt & Company, Henry",9781250174949
Atheneum/Caitlyn Dlouhy Books,9781534418165
Disney-Hyperion,9781368077927
Margaret K. McElderry Books,9781665900706
Simon & Schuster Children's Publishing,9781665902168
Levine Querido,9781646140893
Random House Books for Young Readers,9780385376716
Dial Books for Young Readers,9780803736801
Orchard Books,9781338572315
World of Eric Carle,9780593226186
Feiwel & Friends,9781250823946
Penguin,9780399255373
Ember,9781984896391
Scholastic,9780590353427
Disney-Hyperion,9781484707234
Simon & Schuster,9781416968290
Scholastic Inc.,9781338347258
Bloomsbury USA,9781619630345
Random House Children's Books,9780593485859
St. Martin's Press,9781250244451
Penguin Teen,9780735269934
Wednesday Books,9781250762030
Simon & Schuster Books For Young Readers,9781534493797
Avery,9780735211292
Simon & Schuster,9781982153281
Penguin Publishing Group,9780593191484
Simon & Schuster,9781982160272
St. Martin's Press,9781250183866
"Farrar, Straus and Giroux",9780374533557
Scribner,9781501111112
Scribner,9781982179670
"Scholastic, Incorporated",9781338801941
VIZ Media LLC,9781974727100
Scholastic,9781338784855
VIZ Media LLC,9781974715466
Scholastic,9781338680454
Graphix,9781338730852
GRAPHIX,9781338712766
"Scholastic, Incorporated",9781338616040
GRAPHIX,9781338535624
VIZ Media LLC,9781974720149
Graphix,9781338741162
St. Martin's Paperbacks,9781250831705
Pocket Books,9781982104139
Anchor,9780593359532
Grand Central Publishing,9781538761663
Penguin Publishing Group,9780593439128
Harlequin Bestselling Author Collection,9781335406293
Kensington Publishing Corporation,9780786048847
Pocket Books,9781982189983
Grand Central Publishing,9781538700747
HarperCollins,9780061992278
Scholastic Press,9781338053807
Square Fish,9781250144058
Sandpiper,9780547577319
Aladdin,9781481480222
Greenwillow Books,9780062895943
Puffin,9780142426425
Square Fish,9781250091666
Atheneum Books for Young Readers,9781416971719
Ember,9780385741279
Random House Children's Books,9780593125014
"Sourcebooks, Incorporated",9781728236414
Alfred A. Knopf,9780375842207
Atheneum/Caitlyn Dlouhy Books,9781481438261
Ember,9781524700515
Simon & Schuster,9781501171369
Ballantine Books,9780593135204
G.P. Putnam's Sons,9780735219106
"Little, Brown and Company",9780316499347
Doubleday,9780385546577
Atria Books,9781501133541
Viking,9780525559474
St. Martin's Press,9781250178602
Berkley Books,9781984806758
Grand Central Publishing,9781538719671
Celadon Books,9781250301703
Ecco,9780062060624
Random House,9780399589010
St. Martin's Press,9781250273659
"Little, Brown Spark",9780316451406
Flatiron Books:,9781250223180
W. W. Norton & Company,9780393881554
Crown Publishing Group,9781984825407
Penguin Books,9780143127741
